name,kind,url,category,what_it_does,caveat
IfcOpenShell,github,https://github.com/IfcOpenShell/IfcOpenShell,BIM and IFC,"IFC toolkit in C++ and Python, and the home of Bonsai, a Blender-based BIM authoring environment",Scripting knowledge helps a lot; the Blender interface is not a drafting package
web-ifc,github,https://github.com/ThatOpen/engine_web-ifc,BIM and IFC,WebAssembly IFC parser for the browser: geometry and properties at full speed,Parsing only; you bring the interface and the workflows
ThatOpen Components,github,https://github.com/ThatOpen/engine_components,BIM and IFC,"Web components for viewing, measuring and coordinating IFC models in a browser",The successor to IFC.js and still moving; pin your versions
xBim Essentials,github,https://github.com/xBimTeam/XbimEssentials,BIM and IFC,".NET toolkit for reading, writing and querying IFC",The .NET option; smaller community than IfcOpenShell
xBim Windows UI,github,https://github.com/xBimTeam/XbimWindowsUI,BIM and IFC,"Windows desktop IFC viewer, validation and model tools",Desktop .NET heritage; check the release cadence before depending on it
xBim WebUI,github,https://github.com/xBimTeam/XbimWebUI,BIM and IFC,Web-based IFC model viewer from the xBim project,Viewer only; lighter maintenance than the desktop stack
BIMserver,github,https://github.com/opensourceBIM/BIMserver,BIM and IFC,Self-hosted IFC model server with revision control and notifications,"Java, heavyweight, and the operational effort is real"
BIMsurfer,github,https://github.com/opensourceBIM/BIMsurfer,BIM and IFC,Browser-based IFC viewer used by BIMserver,"A viewer, not a coordination or clash tool"
Bldrs Share,github,https://github.com/bldrs-ai/Share,BIM and IFC,"Browser IFC review and collaboration, with links you can share",Young project; validate against your own models first
Speckle,github,https://github.com/specklesystems/speckle-server,BIM and IFC,Open data platform that moves geometry and data between AEC tools,Server to run; check the licence for commercial hosting
LibreCAD,github,https://github.com/LibreCAD/LibreCAD,CAD and drawing,2D CAD for drawing production,"2D only, and DWG support is weaker than DXF: convert first"
QCAD,github,https://github.com/qcad/qcad,CAD and drawing,2D CAD with a mature DXF/DWG engine,Community edition is GPL; some features are paid editions
ezdxf,github,https://github.com/mozman/ezdxf,CAD and drawing,"Python library to read, write and automate DXF drawings","A library, not a CAD interface; excellent for drawing QA scripts"
FreeCAD,github,https://github.com/FreeCAD/FreeCAD,CAD and drawing,"Parametric 3D CAD with BIM, FEM and drawing workbenches",Real learning curve; a modelling tool rather than a construction platform
pdf.js,github,https://github.com/mozilla/pdf.js,CAD and drawing,PDF rendering in the browser; the base layer of most web drawing viewers,"Rendering and forms, not measurement or markup workflows"
PyMuPDF,github,https://github.com/pymupdf/PyMuPDF,CAD and drawing,"Fast PDF parsing, text extraction and manipulation in Python",AGPL for the free tier: check before embedding in a product
pdfplumber,github,https://github.com/jsvine/pdfplumber,CAD and drawing,"Extracts text, tables and coordinates from PDFs",Text-based PDFs only; scanned sets need OCR first
Camelot,github,https://github.com/atlanhq/camelot,CAD and drawing,Pulls tables out of PDFs into dataframes,Merged cells and borderless tables defeat it
Stirling PDF,github,https://github.com/Stirling-Tools/Stirling-PDF,CAD and drawing,"Self-hosted PDF toolbox: merge, split, stamp, OCR, redact, compress",General purpose; it knows nothing about sheets and revisions
Tesseract,github,https://github.com/tesseract-ocr/tesseract,CAD and drawing,The OCR engine behind most document digitisation,"Accuracy collapses on stamped, folded, hand-annotated drawings"
PaddleOCR,github,https://github.com/PaddlePaddle/PaddleOCR,CAD and drawing,OCR with strong layout and table understanding,Model downloads and GPU expectations; keep documents in-house
Paperless-ngx,github,https://github.com/paperless-ngx/paperless-ngx,Documents and records,"Scans, indexes and archives documents with tags and full-text search","An archive, not an EDMS: no transmittals, revisions or approval workflow"
Mayan EDMS,github,https://github.com/mayan-edms/mayan-edms,Documents and records,"Document management with metadata, versioning and workflow",Setup effort is high and the interface shows its age
BookStack,github,https://github.com/BookStackApp/BookStack,Documents and records,Wiki-style knowledge base for procedures and O&M documentation,Uncontrolled documentation: not a substitute for a document control system
OpenProject,github,https://github.com/opf/openproject,Scheduling and planning,"Project management with Gantt charts, work packages, budgets and costs",Not a CPM engine: no float analysis or claim-grade schedule reporting
GanttProject,github,https://github.com/bardsoftware/ganttproject,Scheduling and planning,Desktop Gantt charting and critical path scheduling,Basic resource handling; not scaled to multi-job construction programmes
TaskJuggler,github,https://github.com/taskjuggler/TaskJuggler,Scheduling and planning,Text-based project planning with real resource levelling,Batch and syntax-heavy; you edit a plan file rather than a chart
OR-Tools,github,https://github.com/google/or-tools,Scheduling and planning,"Google's optimisation toolkit, including CP-SAT for scheduling and sequencing",You supply the model; it is not a scheduling application
ODK Central,github,https://github.com/getodk/central,Field data collection,"Self-hosted server for mobile field forms, submissions and exports",Not construction-aware: you design the forms and the workflow
ODK Collect,github,https://github.com/getodk/collect,Field data collection,Android client for filling in ODK forms offline and syncing later,Android only; iOS needs a replacement in the field
